Fecha,Categoria,Descripcion,Lempiras,Dolares
20080916,, COBERTURA DE SALDO ANUAL,0,2.58
20080825,, TRASLADO CTA. 3777437135014743,3471.28,0
20080825,, TRASLADO CTA. 3777437135014743,0,46.86
20080825,Pagos, SU PAGO RECIBIDO GRACIAS,-2071,0
20080825,Pagos, SU PAGO RECIBIDO GRACIAS,0,-2
20080825,Pagos, SU PAGO RECIBIDO GRACIAS,0,-44
20080828,Alimentacion, SUBWAY (TEGA),50,0
20080829,Gas, DIPPSA LAS LOMAS,883,0
20080902,Hosting, HOST GATOR.COM           713-5745287,0,9.95
20080911,Hogar, LADY LEE    (MULTAP.TEG),637.28,0
20080919,Restaurantes, T.G.I. FRIDAY'S   BLVD.MOR  R3,209.84,0
20080920,Alimentacion, WENDYS #2               TEGUCIGALPA,168,0
20080921,Gas, SHELL LA HACIENDA,900,0
20080924,Pagos, SU PAGO RECIBIDO GRACIAS,-125,0
20080924,Pagos, SU PAGO RECIBIDO GRACIAS,0,-1
20080925,Gastos Bancarios, REHAB.USO CTA 30 DIAS SUSP.CREDITO,0,15
20081016,Seguros, SOS TOTAL - EMERGENCIAS + RMM,0,4.95
20080924,Alimentacion, PIZZA HUT (BLVD.JUAN P.II)  R3,95,0
20080925,Alimentacion, PASTA XPRESS                R3,91.95,0
20080925,Entretenimiento, MASTER VIDEO BLVD SUYAPA R4,45,0
20080926,Carro, PAGO DE MATRICULA CREDOMATIC,6393.56,0
20080926,Restaurantes, LA CREPERIA,333.62,0
20080927,Alimentacion, LITTLE CAESARS(JP II)       R2,213,0
20080929,Restaurantes, CHILIS,303.17,0
20080929,Pagos, SU PAGO RECIBIDO GRACIAS,-1123,0
20080929,Pagos, SU PAGO RECIBIDO GRACIAS,0,-28
20080930,Celular, CLARO    CAE 9537 46475 CLARO,520.02,0
20081001,Chucherias, DUNKIN DONUTS  KIOSKO CASTAÑOS,45,0
20081001,Alimentacion, GO GREEN MULTIPLAZA TGU,158,0
20081001,Chucherias, DUNKIN DONUTS,47,0
20081002,Chucherias, DUNKIN DONUTS  SANTA MONICA,61,0
20081002,Hosting, HOSTGATOR COM            713-5745287,0,9.95
20081002,Alimentacion, PASTA XPRESS                R3,83.95,0
20081003,Chucherias, ESPRESSO A CASTAÑO LOCAL,32,0
20081003,Alimentacion, PIZZA HUT 39,130,0
20081004,Restaurantes, SUSHI BAR RESTAUR.JAPONES.  R1,616.1,0
20081004,Alimentacion, LUMIERE S. DE R.L. DE C.VTegucigalpa,105,0
20081006,Chucherias, ESSO ON THE RUN HACIEN.PGO TDA,58,0
20081006,Viveres, SUPERMERCADO LA COLONIA #10-R2,19.95,0
20081006,Chucherias, DUNKIN DONUTS,139,0
20081007,Alimentacion, KENTUCKY FRIEND CHIKEN N3   R3,92,0
20081008,Alimentacion, SUBWAY (MALL MULTIP.TEGA.)  R2,79.99,0
20081009,Alimentacion, PASTA XPRESS                R3,91.95,0
20081010,Pagos, SU PAGO RECIBIDO GRACIAS,-376,0
20081015,Pagos, SU PAGO RECIBIDO GRACIAS,-1000,0
20081017,Viveres, SUPERMERCADO LA COLONIA #10-R2,36.55,0
20081017,Restaurantes, SUSHI BAR RESTAUR.JAPONES.  R1,555.1,0
20081017,Gas, DIPPSA LAS LOMAS,300,0
20081019,Entretenimiento, CINEMARK,415,0
20081021,Ropa, A EAGLE OUTFTR00006593   888-2324535,0,182.61
20081022,Celular, CLARO    CAE 4905 46475 CLARO,367.8,0
20081022,Pagos, SU PAGO RECIBIDO GRACIAS,-1624,0
20081024,Personal, SALA DE BELLEZA MAINE       R1,70,0
20081025,Gastos Bancarios, INTERESES CORRIENTES,239.95,0
20081116,Seguros, SOS TOTAL - EMERGENCIAS + RMM,0,4.95
20081023,Entretenimiento, MASTER VIDEO BLVD SUYAPA R4,45,0
20081024,Alimentacion, MC DONALD JP II,84,0
20081025,Hogar, INDUFESA DO IT CENTER       R2,63.84,0
20081026,Gas, DIPPSA LAS LOMAS,730,0
20081027,Hogar, INDUFESA DO IT CENTER       R2,131.04,0
20081027,Entretenimiento, CINEMARK,120,0
20081027,Entretenimiento, CINEMARK,116,0
20081028,Restaurantes, PIZERIA LA FONTANA       Tegucigalpa,241.88,0
20081030,Pagos, SU PAGO RECIBIDO GRACIAS,-2000,0
20081030,Libros, G-BOX          TEGA,1219.91,0
20081031,Alimentacion, WENDYS #2               TEGUCIGALPA,94,0
20081102,Hosting, HOSTGATOR COM            713-5745287,0,9.95
20081103,Restaurantes, USAMI                    TEGUCIGALPA,683.2,0
20081105,Alimentacion, POLLO CAMPERO 15,185,0
20081106,Pagos, SU PAGO RECIBIDO GRACIAS,-9739,0
20081106,Pagos, SU PAGO RECIBIDO GRACIAS,-3714,0
20081106,Pagos, SU PAGO RECIBIDO GRACIAS,0,-196
20081106,Pagos, SU PAGO RECIBIDO GRACIAS,0,-11
20081106,Alimentacion, MC DONALD JP II,84,0
20081107,Carro, SEGUROS CREFISA,5535.56,0
20081110,Pagos, SU PAGO RECIBIDO GRACIAS,-5536,0
20081110,Pagos, SU PAGO RECIBIDO GRACIAS,-84,0
20081110,Pagos, SU PAGO RECIBIDO GRACIAS,-131,0
20081110,Gas, DIPPSA LAS LOMAS,630,0
20081113,Chucherias, ESPRESSO A CASTAÑO LOCAL,34,0
20081114,Pagos, SU PAGO RECIBIDO GRACIAS,-533,0
20081115,Carro, TOYOSERVICIOS EXPRESS      R1,2271.02,0
20081116,Restaurantes, RESTAURANTE CASA MEXICANA,700,0
